task,theorem,source_file,proof_found,steps_kind,steps,max_depth,transitive_deps,deps_seed_size,obligations,composer_gt_proof_steps,composer_verdict,deps_error,obligations_error
BubbleSort/BubbleSort_IdAPerm.tla,IdAPerm,source/BubbleSort/BubbleSort.tla,True,Direct,0,0,2,2,2,0,PASS,,
BubbleSort/BubbleSort_IdIdentity.tla,IdIdentity,source/BubbleSort/BubbleSort.tla,True,Direct,0,0,1,1,2,0,PASS,,
BubbleSort/BubbleSort_IsPermOfExchange.tla,IsPermOfExchange,source/BubbleSort/BubbleSort.tla,True,Structured,4,1,6,4,6,4,PASS,,
BubbleSort/BubbleSort_IsPermOfReflexive.tla,IsPermOfReflexive,source/BubbleSort/BubbleSort.tla,True,Direct,0,0,6,4,4,0,PASS,,
BubbleSort/BubbleSort_IsPermOfTransitive.tla,IsPermOfTransitive,source/BubbleSort/BubbleSort.tla,True,Structured,6,1,5,4,15,6,PASS,,
Cantor/Cantor10_Cantor.tla,Cantor,source/Cantor/Cantor10.tla,True,Structured,3,1,0,0,7,9,PASS,,
Cantor/Cantor10_NoSetContainsAllValues.tla,NoSetContainsAllValues,source/Cantor/Cantor10.tla,True,Structured,6,2,1,1,9,6,PASS,,
Cantor/Cantor1_cantor.tla,cantor,source/Cantor/Cantor1.tla,True,Structured,6,1,0,4,13,16,PASS,,
Cantor/Cantor2_cantor.tla,cantor,source/Cantor/Cantor2.tla,True,Structured,12,2,0,0,19,16,PASS,,
Cantor/Cantor3_cantor.tla,cantor,source/Cantor/Cantor3.tla,True,Structured,16,5,0,0,22,16,PASS,,
Cantor/Cantor4_cantor.tla,cantor,source/Cantor/Cantor4.tla,True,Structured,14,3,0,0,24,16,PASS,,
Cantor/Cantor5_cantor.tla,cantor,source/Cantor/Cantor5.tla,True,Structured,4,2,0,0,8,16,PASS,,
Cantor/Cantor6_cantor.tla,cantor,source/Cantor/Cantor6.tla,True,Structured,4,1,0,0,10,16,PASS,,
Cantor/Cantor7_cantor.tla,cantor,source/Cantor/Cantor7.tla,True,Structured,3,1,0,0,7,16,PASS,,
Cantor/Cantor8_Cantor.tla,Cantor,source/Cantor/Cantor8.tla,True,Structured,9,3,2,2,12,9,PASS,,
Cantor/Cantor9_Cantor.tla,Cantor,source/Cantor/Cantor9.tla,True,Structured,8,2,2,2,11,9,PASS,,
Consensus/Consensus_Invariance.tla,Invariance,source/Consensus/Consensus.tla,True,Structured,3,1,10,6,10,3,FAIL,,
Consensus/PaxosProof_WFmsgs.tla,WFmsgs,source/Consensus/PaxosProof.tla,True,Direct,0,0,5,4,2,0,PASS,,
Consensus/PaxosProof_struct_lemma.tla,struct_lemma,source/Consensus/PaxosProof.tla,True,Structured,4,1,23,9,7,4,FAIL,,
Consensus/PaxosProof_typing.tla,typing,source/Consensus/PaxosProof.tla,True,Structured,5,1,18,4,7,5,PASS,,
Consensus/Voting_AllSafeAtZero.tla,AllSafeAtZero,source/Consensus/Voting.tla,True,Direct,0,0,5,1,1,0,PASS,,
Consensus/Voting_ChoosableThm.tla,ChoosableThm,source/Consensus/Voting.tla,True,Direct,0,0,5,2,1,0,PASS,,
Consensus/Voting_Consistent.tla,Consistent,source/Consensus/Voting.tla,True,Structured,5,2,25,6,8,5,PASS,,
Consensus/Voting_Invariant.tla,Invariant,source/Consensus/Voting.tla,True,Structured,36,6,18,18,73,36,PASS,,
Consensus/Voting_OneVoteThm.tla,OneVoteThm,source/Consensus/Voting.tla,True,Direct,0,0,4,2,1,0,PASS,,
Consensus/Voting_QuorumNonEmpty.tla,QuorumNonEmpty,source/Consensus/Voting.tla,True,Direct,0,0,0,1,2,0,PASS,,
Consensus/Voting_Refinement.tla,Refinement,source/Consensus/Voting.tla,True,Structured,10,3,26,18,25,10,FAIL,,
Consensus/Voting_ShowsSafety.tla,ShowsSafety,source/Consensus/Voting.tla,True,Direct,0,0,10,10,3,0,PASS,,
Consensus/Voting_VotesSafeImpliesConsistency.tla,VotesSafeImpliesConsistency,source/Consensus/Voting.tla,True,Structured,6,2,10,10,20,6,PASS,,
Data/GraphTheorem_AtLeastTwo.tla,AtLeastTwo,source/Data/GraphTheorem.tla,True,Direct,0,0,2,3,4,0,PASS,,
Data/GraphTheorem_EdgesAxiom.tla,EdgesAxiom,source/Data/GraphTheorem.tla,True,Direct,0,0,1,3,2,0,PASS,,
Data/SequencesTheorems_RemoveSeq.tla,RemoveSeq,source/Data/SequencesTheorems.tla,True,Structured,9,2,2,4,23,9,PASS,,
Data/Sets_CardinalityInNat.tla,CardinalityInNat,source/Data/Sets.tla,True,Direct,0,0,0,1,2,0,PASS,,
Data/Sets_CardinalityOne.tla,CardinalityOne,source/Data/Sets.tla,True,Direct,0,0,5,4,4,0,PASS,,
Data/Sets_CardinalityOneConverse.tla,CardinalityOneConverse,source/Data/Sets.tla,True,Structured,3,1,1,2,8,3,PASS,,
Data/Sets_CardinalityPlusOne.tla,CardinalityPlusOne,source/Data/Sets.tla,True,Structured,5,1,3,4,12,5,PASS,,
Data/Sets_CardinalitySetMinus.tla,CardinalitySetMinus,source/Data/Sets.tla,True,Structured,20,4,4,6,44,20,FAIL,,
Data/Sets_CardinalityTwo.tla,CardinalityTwo,source/Data/Sets.tla,True,Direct,0,0,6,4,4,0,PASS,,
Data/Sets_CardinalityZero.tla,CardinalityZero,source/Data/Sets.tla,True,Structured,5,2,2,3,12,5,PASS,,
Data/Sets_FiniteSubset.tla,FiniteSubset,source/Data/Sets.tla,True,Structured,22,3,6,8,53,22,FAIL,,
Data/Sets_IntervalCardinality.tla,IntervalCardinality,source/Data/Sets.tla,True,Structured,8,2,3,6,19,8,PASS,,
Data/Sets_IsBijectionInverse.tla,IsBijectionInverse,source/Data/Sets.tla,True,Structured,2,1,1,1,2,2,PASS,,
Data/Sets_IsBijectionTransitive.tla,IsBijectionTransitive,source/Data/Sets.tla,True,Structured,2,1,1,1,4,2,PASS,,
Data/Sets_PigeonHole.tla,PigeonHole,source/Data/Sets.tla,True,Structured,22,4,5,7,41,22,FAIL,,
EWD840/EWD840_Inv_implies_Termination.tla,Inv_implies_Termination,source/EWD840/EWD840.tla,True,Structured,11,3,4,6,25,11,PASS,,
EWD840/EWD840_TypeOK_inv.tla,TypeOK_inv,source/EWD840/EWD840.tla,True,Structured,3,1,14,14,8,3,PASS,,
Euclid/Euclid_Correctness.tla,Correctness,source/Euclid/Euclid-TLAPS-Example/Euclid.tla,True,Structured,4,1,12,6,12,,PASS,,
Euclid/Euclid_InitProperty.tla,InitProperty,source/Euclid/Euclid-TLAPS-Example/Euclid.tla,True,Direct,0,0,7,3,2,,PASS,,
Euclid/Euclid_NextProperty.tla,NextProperty,source/Euclid/Euclid-TLAPS-Example/Euclid.tla,True,Structured,11,2,7,5,25,,PASS,,
Euclid/GCD_GCD1.tla,GCD1,source/Euclid/Euclid-Hyperbook/GCD.tla,True,Structured,4,1,4,4,6,,PASS,,
Euclid/GCD_GCD2.tla,GCD2,source/Euclid/Euclid-Hyperbook/GCD.tla,True,Direct,0,0,4,1,1,,PASS,,
Euclid/GCD_GCD3.tla,GCD3,source/Euclid/Euclid-Hyperbook/GCD.tla,True,Structured,3,1,4,4,3,,PASS,,
OpenAddressing/OpenAddressing_proof_CompleteSafety.tla,,,False,,,,,,,,PASS,,
Paxos/PaxosHistVar_Consistent.tla,Consistent,source/Paxos/PaxosHistVar.tla,True,Structured,11,3,26,12,28,14,FAIL,,
Paxos/PaxosHistVar_Invariant.tla,Invariant,source/Paxos/PaxosHistVar.tla,True,Structured,57,7,22,28,115,78,PASS,,
Paxos/PaxosHistVar_SafeAtStable.tla,SafeAtStable,source/Paxos/PaxosHistVar.tla,True,Structured,17,3,16,20,47,21,PASS,,
Paxos/PaxosHistVar_VotedInv.tla,VotedInv,source/Paxos/PaxosHistVar.tla,True,Direct,0,0,8,4,1,0,PASS,,
Paxos/PaxosHistVar_VotedOnce.tla,VotedOnce,source/Paxos/PaxosHistVar.tla,True,Direct,0,0,4,2,1,0,PASS,,
Paxos/Paxos_Consistent.tla,Consistent,source/Paxos/Paxos.tla,True,Structured,11,3,28,13,29,14,PASS,,
Paxos/Paxos_Invariant.tla,Invariant,source/Paxos/Paxos.tla,True,Structured,73,7,23,23,169,78,FAIL,,
Paxos/Paxos_NoneNotAValue.tla,NoneNotAValue,source/Paxos/Paxos.tla,True,Direct,0,0,1,2,2,0,PASS,,
Paxos/Paxos_QuorumNonEmpty.tla,QuorumNonEmpty,source/Paxos/Paxos.tla,True,Direct,0,0,0,1,2,0,PASS,,
Paxos/Paxos_Refinement.tla,Refinement,source/Paxos/Paxos.tla,True,Structured,8,2,30,20,19,8,FAIL,,
Paxos/Paxos_SafeAtStable.tla,SafeAtStable,source/Paxos/Paxos.tla,True,Structured,21,4,16,15,47,21,FAIL,,
Paxos/Paxos_VotedInv.tla,VotedInv,source/Paxos/Paxos.tla,True,Direct,0,0,8,4,1,0,PASS,,
Paxos/Paxos_VotedOnce.tla,VotedOnce,source/Paxos/Paxos.tla,True,Direct,0,0,6,2,1,0,PASS,,
SimpleMutex/SimpleMutex_Initialization.tla,Initialization,source/SimpleMutex/SimpleMutex.tla,True,Direct,0,0,4,4,1,0,PASS,,
SimpleMutex/SimpleMutex_Invariance.tla,Invariance,source/SimpleMutex/SimpleMutex.tla,True,Structured,13,3,9,11,39,13,PASS,,
SimpleMutex/SimpleMutex_Mutex.tla,Mutex,source/SimpleMutex/SimpleMutex.tla,True,Direct,0,0,2,2,1,0,PASS,,
SimpleMutex/SimpleMutex_Safety.tla,Safety,source/SimpleMutex/SimpleMutex.tla,True,Direct,0,0,16,4,5,0,PASS,,
SimpleMutex/SimpleMutex_TLAInvariance.tla,TLAInvariance,source/SimpleMutex/SimpleMutex.tla,True,Direct,0,0,10,7,2,0,PASS,,
apalache_examples_ben-or83/Ben_or83_proofs_ALL_Card.tla,ALL_Card,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,4,1,1,8,16,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Agreement.tla,Agreement,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,18,2,106,7,50,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Arith_DiffPos.tla,Arith_DiffPos,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,0,2,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Arith_DoubleGtNplusTImplGt3T.tla,Arith_DoubleGtNplusTImplGt3T,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,0,3,4,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Arith_DoubleGtNplusTImplTplusOne.tla,Arith_DoubleGtNplusTImplTplusOne,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,0,3,4,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Arith_DoubleLeFromNotGtMono.tla,Arith_DoubleLeFromNotGtMono,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,0,1,2,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Arith_DoubleLtTplusOneLeNplusT.tla,Arith_DoubleLtTplusOneLeNplusT,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,0,3,4,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Arith_DoubleNotGtLe.tla,Arith_DoubleNotGtLe,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,0,1,2,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Arith_NotAllFaulty.tla,Arith_NotAllFaulty,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,0,3,4,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Arith_NotLtTplusOneGe.tla,Arith_NotLtTplusOneGe,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,0,2,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Arith_OtherLtFromStrictOverlap.tla,Arith_OtherLtFromStrictOverlap,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,3,1,2,4,9,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Arith_SupportedQuorumGeContrad.tla,Arith_SupportedQuorumGeContrad,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,4,1,0,3,14,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Arith_TplusOneNotFaulty.tla,Arith_TplusOneNotFaulty,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,0,2,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_CardUnion2LeSum.tla,CardUnion2LeSum,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,5,1,1,4,15,,,,
apalache_examples_ben-or83/Ben_or83_proofs_CardUnion3LeSum.tla,CardUnion3LeSum,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,10,1,1,5,34,,,,
apalache_examples_ben-or83/Ben_or83_proofs_CorrectD2Exists.tla,CorrectD2Exists,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,21,2,22,12,53,,,,
apalache_examples_ben-or83/Ben_or83_proofs_CrossRoundStrictQuorum.tla,CrossRoundStrictQuorum,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,2,1,100,2,5,,,,
apalache_examples_ben-or83/Ben_or83_proofs_D2Fixed_CardLeSenders.tla,D2Fixed_CardLeSenders,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,6,2,5,7,11,,,,
apalache_examples_ben-or83/Ben_or83_proofs_D2PSetFinite.tla,D2PSetFinite,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,7,1,16,9,19,,,,
apalache_examples_ben-or83/Ben_or83_proofs_D2SetFinite.tla,D2SetFinite,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,7,1,16,9,19,,,,
apalache_examples_ben-or83/Ben_or83_proofs_DQuorumDominatesMajorityD.tla,DQuorumDominatesMajorityD,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,15,2,50,14,38,,,,
apalache_examples_ben-or83/Ben_or83_proofs_DQuorumDominatesSupported.tla,DQuorumDominatesSupported,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,16,2,49,15,40,,,,
apalache_examples_ben-or83/Ben_or83_proofs_DvFaultyMono.tla,DvFaultyMono,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,5,1,31,5,13,,,,
apalache_examples_ben-or83/Ben_or83_proofs_DvInjective.tla,DvInjective,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,2,3,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_DvPInjective.tla,DvPInjective,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,2,3,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_DvPSenderWitness.tla,DvPSenderWitness,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,2,1,3,3,5,,,,
apalache_examples_ben-or83/Ben_or83_proofs_DvSenderWitness.tla,DvSenderWitness,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,4,1,4,3,9,,,,
apalache_examples_ben-or83/Ben_or83_proofs_DvStep2Mono.tla,DvStep2Mono,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,10,1,21,8,30,,,,
apalache_examples_ben-or83/Ben_or83_proofs_EarlyMajorityM1HasCorrect.tla,EarlyMajorityM1HasCorrect,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,6,1,8,6,15,,,,
apalache_examples_ben-or83/Ben_or83_proofs_EarlyTplusOneHasCorrect.tla,EarlyTplusOneHasCorrect,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,10,2,4,7,23,,,,
apalache_examples_ben-or83/Ben_or83_proofs_FaultyBound.tla,FaultyBound,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,0,3,4,,,,
apalache_examples_ben-or83/Ben_or83_proofs_FaultyD2Bound.tla,FaultyD2Bound,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,5,1,3,8,13,,,,
apalache_examples_ben-or83/Ben_or83_proofs_FaultyD2Injective.tla,FaultyD2Injective,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,2,3,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_FaultyMsgs2AddedFaulty.tla,FaultyMsgs2AddedFaulty,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,7,2,3,3,15,,,,
apalache_examples_ben-or83/Ben_or83_proofs_FaultyStepProps.tla,FaultyStepProps,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,17,2,13,9,45,,,,
apalache_examples_ben-or83/Ben_or83_proofs_HighWeightReceivedL11Witness.tla,HighWeightReceivedL11Witness,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,62,4,80,32,209,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Inductive.tla,Inductive,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,263,15,15,,,,
apalache_examples_ben-or83/Ben_or83_proofs_InitInd.tla,InitInd,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,48,3,23,21,97,,,,
apalache_examples_ben-or83/Ben_or83_proofs_LaterQuorumGivesTotalBefore.tla,LaterQuorumGivesTotalBefore,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,26,3,42,15,60,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Lemma3_D2D2SameCorrect.tla,Lemma3_D2D2SameCorrect,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,1,1,1,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Lemma3_Q2D2Faulty.tla,Lemma3_Q2D2Faulty,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,1,1,1,,,,
apalache_examples_ben-or83/Ben_or83_proofs_LockLemma.tla,LockLemma,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,13,4,101,1,19,,,,
apalache_examples_ben-or83/Ben_or83_proofs_LockedFullCorrectType2Strict.tla,LockedFullCorrectType2Strict,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,49,4,44,27,140,,,,
apalache_examples_ben-or83/Ben_or83_proofs_LockedNextCorrectD2Value.tla,LockedNextCorrectD2Value,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,9,1,71,6,22,,,,
apalache_examples_ben-or83/Ben_or83_proofs_LockedNextNoCorrectQ2.tla,LockedNextNoCorrectQ2,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,37,4,67,15,82,,,,
apalache_examples_ben-or83/Ben_or83_proofs_LockedReceiveCorrectType2Strict.tla,LockedReceiveCorrectType2Strict,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,33,4,8,16,79,,,,
apalache_examples_ben-or83/Ben_or83_proofs_LockedReceiveStrictD.tla,LockedReceiveStrictD,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,12,1,87,9,38,,,,
apalache_examples_ben-or83/Ben_or83_proofs_LowWeightsReceivedL11Witness.tla,LowWeightsReceivedL11Witness,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,35,1,49,25,122,,,,
apalache_examples_ben-or83/Ben_or83_proofs_LowWeightsReceivedL8Witness.tla,LowWeightsReceivedL8Witness,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,70,4,10,11,177,,,,
apalache_examples_ben-or83/Ben_or83_proofs_LowWeightsSupportedEmpty.tla,LowWeightsSupportedEmpty,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,11,2,11,7,25,,,,
apalache_examples_ben-or83/Ben_or83_proofs_MajCardBound.tla,MajCardBound,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,15,1,3,5,50,,,,
apalache_examples_ben-or83/Ben_or83_proofs_MajorityIntersect.tla,MajorityIntersect,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,11,2,5,9,27,,,,
apalache_examples_ben-or83/Ben_or83_proofs_MajorityM1HasCorrect.tla,MajorityM1HasCorrect,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,6,1,8,6,15,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs1AddOneRep.tla,Msgs1AddOneRep,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,12,3,1,4,19,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs1DomR.tla,Msgs1DomR,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,2,1,1,1,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs1Shape.tla,Msgs1Shape,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,3,1,1,1,5,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2AddDRep.tla,Msgs2AddDRep,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,12,3,1,5,21,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2AddQRep.tla,Msgs2AddQRep,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,12,3,1,5,21,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2Decomp.tla,Msgs2Decomp,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,4,1,4,2,8,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2DomR.tla,Msgs2DomR,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,2,1,1,1,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2FaultyMono.tla,Msgs2FaultyMono,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,5,1,44,3,13,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2Finite.tla,Msgs2Finite,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,9,1,31,9,25,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2PrimeDecomp.tla,Msgs2PrimeDecomp,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,4,1,4,2,8,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2PrimeFinite.tla,Msgs2PrimeFinite,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Structured,9,1,31,9,25,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2PrimeQSrcInAll.tla,Msgs2PrimeQSrcInAll,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,7,2,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2PrimeRShape.tla,Msgs2PrimeRShape,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,7,2,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2PrimeShape.tla,Msgs2PrimeShape,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,7,2,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2PrimeSrcInAll.tla,Msgs2PrimeSrcInAll,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,7,2,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2PrimeVInValues.tla,Msgs2PrimeVInValues,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,7,2,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2QSrcInAll.tla,Msgs2QSrcInAll,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,7,2,3,,,,
apalache_examples_ben-or83/Ben_or83_proofs_Msgs2RShape.tla,Msgs2RShape,source/apalache_examples_ben-or83/Ben_or83_proofs.tla,True,Direct,0,0,7,2,3,,,,
